hci0,hci1,hci2
0,-65,0
0,-64.5,-73
0,-64.5,-73
-74,-66,-73
-71,-66,-73
-71,-66,-73
-71,-66,-73
-70.3333,-65.75,-73
-70.3333,-65.75,-73
-70.3333,-65.6,-73
-72.5,-65.5,-73.5
-72.5,-65.5,-73.5
-72.5,-65.5,-71.6667
-72.5,-65.5,-71.6667
-72.5,-65.5,-71.6667
-72.2,-66.1429,-70.75
-72.5,-66.1429,-73.8
-72.5,-66.1429,-73.8
-72.5,-66.1429,-73.8
-72.5,-65.875,-73.8
-72.5,-65.875,-73.8
-72.2857,-65.6667,-72.8333
-72.2857,-66.2,-72.8333
-72.2857,-66.2,-72.8333
-72,-66.7273,-72.1429
-72,-66.7273,-72.1429
-72,-66.7273,-72.1429
-71.7778,-66.7273,-73.375
-71.7,-66.6667,-73.375
-71.7,-66.6667,-73.375
-71.7,-66.6667,-74.1111
-71.7,-66.6667,-74.1111
-71.7,-66.6667,-74.1111
-71.7,-66.7692,-75.3
-71.7,-66.7692,-75.3
-71.7,-66.5714,-74.9091
-72.2727,-66.3333,-74.5833
-72.2727,-66.3333,-74.0769
-72.2727,-66.3333,-74.0769
-72.2727,-66.3333,-74.0769
-72.0833,-66.3333,-74.0769
-72.0833,-66.3333,-74.0769
-72.0833,-66.3333,-74.0769
-71.8462,-66.3125,-74.0769
-71.8462,-66.3125,-74.0769
-71.8462,-66.4375,-74.0769
-72.2143,-66.4375,-73.8571
-72.2143,-66.4375,-73.8571
-72.6667,-66.1875,-73.3333
-72.625,-66.375,-72.875
-72.625,-66.375,-72.875
-72.3125,-66.5625,-72.875
-72.4375,-66.5625,-72.875
-72.4375,-66.5625,-72.875
-72.4375,-66.5625,-72.875
-72.4375,-66.5625,-72.875
-72.4375,-66.5625,-72.875
-72.4375,-66.3125,-72.875
-72.4375,-66.5,-72.75,*
-72.4375,-66.5,-72.75,*
