count, hci0, hci1, hci2
0,0,-52,-64
1,0,-52,-64
2,-48,-52.5,-64
3,-47.5,-53,-64
4,-47.5,-53,-64
5,-47.5,-53,-64
6,-47.5,-52.75,-64.5
7,-47.5,-52.75,-64.5
8,-47.6667,-53.2,-64.5
9,-47.25,-53.3333,-64.5
10,-47.25,-53.3333,-64.5
11,-47,-53.4286,-64.5
12,-47,-53.25,-64.5
13,-47,-53.25,-64.5
14,-47,-53.1111,-67
15,-47,-53.1111,-68
16,-47,-53.1111,-68
17,-47,-53.1,-68
18,-47,-53.1,-67.4
19,-47,-53.1,-67.4
20,-47,-53.1,-67.4
21,-46.875,-53.1,-67.4
22,-46.875,-53.1,-67.4
23,-46.875,-53,-67.4
24,-46.875,-52.9167,-67.4
25,-46.875,-52.9167,-67.4
26,-46.8889,-52.8462,-67.4
27,-46.9,-52.8462,-68.1667
28,-46.9,-52.8462,-68.1667
29,-47,-52.8462,-68.1667
30,-47.0833,-53.0714,-68.1667
31,-47.0833,-53.0714,-68.1667
32,-47.0833,-53.0714,-68.1667
33,-47.0833,-53.0714,-68.1667
34,-47.0833,-53.0714,-68.1667
35,-47.0769,-53.0714,-68.1667
36,-47.0769,-53.0714,-68.7143
37,-47.0769,-53.0714,-68.7143
38,-47.0769,-53.2667,-68.7143
39,-47.1429,-53.4375,-68.25
40,-47.1429,-53.4375,-68.25
41,-47.1429,-53.4375,-68.25
42,-47.0667,-53.625,-68.25
43,-47.0667,-53.625,-68.25
44,-47.0625,-53.625,-68.25
45,-47,-53.625,-68.25
46,-47,-53.625,-68.25
47,-47,-53.625,-68.25
48,-47,-53.625,-67.8889
49,-47,-53.625,-67.8889
50,-47.0625,-53.625,-67.8889
51,-47,-53.625,-67.8889
52,-47,-53.625,-67.8889
53,-47.0625,-53.625,-67.8889
54,-47.0625,-53.625,-67.6
55,-47.0625,-53.625,-67.6
56,-47.1875,-53.75,-67.3636
57,-47.25,-54,-67.3636
58,-47.25,-54,-67.3636
59,-47.25,-54,-67.3636
